                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2722,                 4.0744,                  1.534,                0.29169,                0.37754,                0.28812,                0.14323,                 1.5859,                 4.5614,                 1.9166,             0.00047264,             0.00047264,             0.00047264
                      2,                 1.4357,                 3.3121,                 1.6406,                0.31863,                0.27775,                0.22335,                0.11885,                 1.7506,                 5.0122,                 2.0924,             0.00093018,             0.00093018,             0.00093018
                      3,                 1.5058,                 2.7251,                 1.6469,                0.30794,                 0.2916,                0.19309,                0.10024,                 1.6083,                 6.1624,                 2.0109,              0.0013689,              0.0013689,              0.0013689
                      4,                 1.4995,                 2.4706,                 1.6762,                0.35099,                0.46286,                0.34773,                0.19224,                 1.4286,                 3.1912,                 1.7364,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.4547,                 2.2019,                 1.6231,                0.43343,                0.44645,                0.39247,                0.23449,                 1.4834,                 2.2719,                 1.7501,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.3699,                  1.977,                 1.5634,                0.55644,                0.48838,                0.52358,                0.31073,                 1.3904,                 1.8402,                 1.6383,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.3509,                 1.8874,                 1.5355,                0.62912,                0.48851,                0.57456,                0.35255,                 1.3404,                 1.7501,                 1.6167,              0.0012875,              0.0012875,              0.0012875
                      8,                  1.337,                 1.8004,                 1.5215,                0.44475,                0.64941,                0.54703,                0.34987,                 1.2513,                 1.7993,                 1.5281,              0.0012592,              0.0012592,              0.0012592
                      9,                  1.347,                 1.7427,                 1.4987,                0.69499,                 0.4612,                0.62827,                0.40579,                 1.2008,                 1.7375,                 1.5068,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.2715,                 1.6204,                 1.4683,                0.71723,                0.67793,                0.72897,                0.47183,                 1.2447,                 1.3758,                 1.5508,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.2655,                 1.6331,                 1.4549,                0.64232,                0.60893,                0.68033,                0.44486,                 1.2386,                 1.4658,                 1.5272,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.2268,                 1.5411,                 1.4469,                 0.7013,                0.69297,                 0.7399,                0.49144,                  1.123,                 1.3255,                  1.402,              0.0011461,              0.0011461,              0.0011461
                     13,                  1.203,                 1.4931,                 1.4057,                0.72531,                0.69345,                0.78229,                0.53416,                 1.1221,                 1.2058,                 1.3975,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.2121,                 1.4643,                 1.4319,                0.77559,                0.75381,                0.80632,                0.56834,                  1.097,                 1.1058,                 1.3968,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.1566,                 1.3183,                 1.3834,                 0.8145,                0.68614,                0.79122,                 0.5477,                 1.1283,                 1.1645,                 1.4031,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.1632,                 1.3406,                  1.382,                0.78046,                0.60063,                 0.7263,                0.49919,                 1.1233,                 1.4737,                  1.431,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.1391,                 1.2816,                 1.3716,                0.75371,                0.77664,                0.83184,                0.57912,                 1.0697,                 1.0676,                 1.3824,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.1064,                 1.2267,                 1.3325,                 0.8477,                0.74748,                0.83832,                  0.595,                 1.0443,                0.99458,                  1.357,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.1186,                 1.1945,                 1.3424,                0.74828,                0.76242,                0.81845,                0.57853,                 1.0683,                 1.0514,                 1.3657,               0.000948,               0.000948,               0.000948
                     20,                 1.0852,                    1.2,                 1.3217,                0.83002,                0.73337,                   0.84,                0.58503,                 1.0515,                0.99945,                  1.358,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.0691,                 1.1489,                 1.3082,                 0.8656,                0.79685,                0.88011,                0.63732,                 1.0135,                0.90719,                 1.3114,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.0483,                 1.0863,                 1.3062,                0.83122,                0.82392,                0.88585,                0.63971,                 1.0122,                 0.8772,                 1.3121,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.0616,                 1.0917,                 1.2899,                0.85424,                0.83782,                0.89043,                0.65337,                0.98292,                0.83401,                 1.2897,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.0243,                 1.0522,                  1.285,                0.90991,                0.83129,                0.91393,                0.68857,                0.94683,                0.77682,                 1.2579,             0.00080653,             0.00080653,             0.00080653
